,1em5,1.5em5,2em5,2.5em5,3em5,3.5em5,4em5,4.5em5,5em5
274,35,142,327,633,1215,1814,2697,3829,5170
275,53,139,348,651,1080,1788,2727,3857,5238
276,34,146,361,643,1114,1758,2627,3870,5195
277,33,144,338,673,1089,1845,2643,3679,5194
278,45,135,337,651,1080,1801,2709,3741,5311
279,44,152,339,668,1104,1786,2667,3890,5298
280,40,141,333,711,1060,1747,2737,3863,5210
281,35,147,305,718,1102,1780,2709,3758,5281
282,45,149,347,662,1102,1801,2675,3864,5150
283,38,147,311,677,1146,1766,2710,3788,5196
284,40,157,338,647,1184,1813,2670,3862,5243
285,53,129,333,647,1207,1787,2612,3853,5234
286,47,141,352,631,1064,1807,2679,3832,5295
287,37,142,339,680,1115,1832,2734,3768,5371
288,35,144,324,691,1171,1803,2589,3855,5199
289,50,155,344,658,1107,1757,2671,3830,5230
290,45,147,337,736,1079,1857,2662,3786,5298
291,40,150,363,659,1099,1937,2669,3793,5248
292,46,141,336,667,1091,1765,2670,3792,5256
293,25,121,358,605,1110,1750,2657,3855,5279
294,46,134,312,658,1151,1796,2682,3856,5189
295,45,148,335,668,1125,1743,2748,3826,5271
296,43,152,324,684,1109,1824,2648,3760,5346
297,45,146,314,662,1123,1779,2646,3676,5239
298,46,146,330,648,1187,1810,2867,3740,5261
299,42,188,333,676,1150,1788,2655,3822,5180
300,48,143,371,662,1089,1786,2688,3940,5132
301,39,153,363,634,1133,1795,2728,3884,5213
302,45,138,371,613,1116,1782,2637,3875,5378
303,33,141,327,634,1127,1765,2648,3851,5306
304,40,146,327,643,1117,1819,2771,3754,5257
305,34,142,330,660,1134,1779,2725,3869,5338
306,51,138,329,650,1082,1749,2754,3700,5287
307,48,146,334,685,1122,1765,2693,3864,5272
308,42,151,352,668,1093,1751,2603,3795,5216
309,39,135,328,659,1079,1711,2550,3833,5189
310,48,150,345,672,1146,1834,2670,3905,5266
311,37,129,359,674,1058,1764,2656,3748,5094
312,52,158,346,670,1164,1793,2625,3845,5300
313,44,138,337,649,1145,1769,2699,3737,5203
314,42,148,360,657,1123,1837,2605,3897,5199
315,33,136,316,654,1091,1793,2636,3856,5254
316,45,131,344,701,1115,1820,2666,3743,5311
317,44,147,330,655,1136,1803,2727,3769,5287
318,59,137,347,602,1145,1800,2697,3900,5257
319,43,124,344,653,1129,1678,2732,3969,5179
320,42,158,348,656,1090,1777,2699,3841,5201
321,32,129,337,625,1122,1734,2726,3784,5080
322,40,149,331,626,1094,1832,2703,3905,5142
323,42,156,351,711,1141,1777,2672,3766,5212
324,53,128,300,661,1132,1841,2771,3745,5262
325,38,140,301,647,1077,1841,2657,3752,5151
326,49,152,319,665,1137,1794,2721,3841,5216
327,37,138,336,664,1105,1806,2665,3756,5135
328,46,147,327,650,1130,1783,2780,3900,5124
329,42,140,345,628,1117,1838,2620,3827,5281
330,37,154,345,637,1130,1694,2662,3790,5277
331,43,134,342,649,1143,1830,2675,3885,5140
332,33,133,369,582,1074,1785,2545,3838,5215
333,51,137,330,632,1163,1800,2673,3738,5293
334,36,154,366,662,1068,1740,2657,3775,5292
335,50,150,352,675,1136,1821,2701,3836,5152
336,53,132,340,672,1075,1771,2619,3783,5272
337,40,147,367,643,1126,1775,2716,3806,5135
338,33,135,370,665,1128,1841,2676,3764,5221
339,33,148,342,675,1158,1787,2655,3770,5217
340,30,143,367,624,1132,1746,2687,3992,5135
341,35,134,329,621,1072,1827,2722,3752,5355
342,40,134,359,656,1196,1781,2739,3874,5159
343,41,137,315,691,1123,1743,2705,3938,5122
344,32,144,352,616,1157,1813,2619,3854,5190
345,48,174,360,617,1103,1712,2790,3864,5242
346,37,140,347,654,1146,1834,2708,3926,5334
347,38,136,339,651,1099,1779,2687,3775,5072
348,49,154,326,680,1112,1853,2688,3790,5252
349,47,165,344,667,1173,1801,2670,3787,5250
350,42,138,313,651,1080,1797,2695,3814,5280
351,36,138,335,671,1110,1830,2718,3796,5311
352,36,131,331,658,1182,1789,2712,3776,5229
353,40,126,359,678,1116,1804,2767,3837,5243
354,46,121,390,633,1132,1809,2659,3858,5240
355,40,151,338,658,1143,1775,2685,3829,5217
356,53,136,334,648,1163,1744,2636,3843,5133
357,32,136,320,634,1095,1808,2619,3767,5313
358,34,143,309,678,1082,1907,2649,3791,5144
359,29,136,334,635,1110,1745,2692,3767,5212
360,53,164,322,639,1076,1725,2763,3965,5073
361,42,131,322,645,1137,1827,2673,3780,5180
362,45,146,308,648,1115,1754,2728,3806,5404
363,52,178,338,638,1090,1830,2696,3819,5306
364,46,139,341,616,1174,1737,2654,3814,5186
365,56,151,290,680,1116,1848,2619,3771,5144
366,44,151,331,594,1139,1734,2641,3894,5320
367,35,125,350,673,1093,1811,2645,3799,5227
368,33,139,339,625,1105,1768,2671,3828,5279
369,45,153,314,665,1108,1831,2644,3809,5415
370,44,127,321,714,1167,1799,2641,3880,5279
371,33,146,345,645,1137,1819,2734,3841,5225
372,37,157,356,642,1131,1814,2757,3775,5124
373,35,156,338,673,1142,1811,2707,3727,5206
374,44,128,302,621,1100,1805,2684,3842,5251
375,40,140,310,684,1162,1887,2693,3883,5228
376,47,131,363,714,1238,1812,2751,3678,5246
377,45,132,329,654,1091,1820,2564,3852,5303
378,36,184,330,691,1142,1781,2749,3828,5198
379,38,129,334,650,1152,1800,2700,3816,5214
380,47,148,313,678,1113,1850,2762,3848,5206
381,43,158,310,597,1146,1825,2653,3712,5123
382,34,138,313,639,1116,1812,2665,3792,5220
383,40,150,339,701,1097,1831,2721,3815,5209
384,28,142,357,683,1155,1828,2697,3782,5187
385,44,142,317,663,1172,1781,2662,3837,5328
386,56,155,356,674,1123,1779,2627,3914,5209
387,52,130,339,638,1067,1836,2719,3707,5281
388,37,134,306,627,1182,1749,2620,3778,5242
389,39,162,328,658,1115,1763,2657,3743,5213
390,47,123,357,687,1121,1776,2690,3766,5299
391,34,156,349,657,1206,1796,2775,3685,5176
392,41,159,326,698,1090,1784,2651,3844,5253
393,39,134,342,641,1166,1734,2565,3861,5221
394,42,150,352,603,1154,1751,2701,3891,5220
395,59,133,321,659,1138,1834,2662,3777,5137
396,42,147,337,720,1128,1812,2680,3711,5191
397,37,143,323,668,1147,1813,2745,3833,5249
